drift_ramp: 0 cached, 100 to run
drift_ramp experiment 1 done (1/100 this run)
drift_ramp experiment 2 done (2/100 this run)
drift_ramp experiment 0 done (3/100 this run)
drift_ramp experiment 3 done (4/100 this run)
drift_ramp experiment 4 done (5/100 this run)
drift_ramp experiment 5 done (6/100 this run)
drift_ramp experiment 6 done (7/100 this run)
drift_ramp experiment 7 done (8/100 this run)
drift_ramp experiment 8 done (9/100 this run)
drift_ramp experiment 10 done (10/100 this run)
drift_ramp experiment 11 done (11/100 this run)
drift_ramp experiment 9 done (12/100 this run)
drift_ramp experiment 13 done (13/100 this run)
drift_ramp experiment 12 done (14/100 this run)
drift_ramp experiment 14 done (15/100 this run)
drift_ramp experiment 15 done (16/100 this run)
drift_ramp experiment 16 done (17/100 this run)
drift_ramp experiment 17 done (18/100 this run)
drift_ramp experiment 18 done (19/100 this run)
drift_ramp experiment 19 done (20/100 this run)
drift_ramp experiment 20 done (21/100 this run)
drift_ramp experiment 21 done (22/100 this run)
drift_ramp experiment 22 done (23/100 this run)
drift_ramp experiment 23 done (24/100 this run)
drift_ramp experiment 24 done (25/100 this run)
drift_ramp experiment 25 done (26/100 this run)
drift_ramp experiment 26 done (27/100 this run)
drift_ramp experiment 27 done (28/100 this run)
drift_ramp experiment 28 done (29/100 this run)
drift_ramp experiment 29 done (30/100 this run)
drift_ramp experiment 30 done (31/100 this run)
drift_ramp experiment 31 done (32/100 this run)
drift_ramp experiment 32 done (33/100 this run)
drift_ramp experiment 33 done (34/100 this run)
drift_ramp experiment 35 done (35/100 this run)
drift_ramp experiment 34 done (36/100 this run)
drift_ramp experiment 36 done (37/100 this run)
drift_ramp experiment 37 done (38/100 this run)
drift_ramp experiment 38 done (39/100 this run)
drift_ramp experiment 39 done (40/100 this run)
drift_ramp experiment 40 done (41/100 this run)
drift_ramp experiment 41 done (42/100 this run)
drift_ramp experiment 42 done (43/100 this run)
drift_ramp experiment 43 done (44/100 this run)
drift_ramp experiment 44 done (45/100 this run)
drift_ramp experiment 45 done (46/100 this run)
drift_ramp experiment 46 done (47/100 this run)
drift_ramp experiment 47 done (48/100 this run)
drift_ramp experiment 48 done (49/100 this run)
drift_ramp experiment 49 done (50/100 this run)
drift_ramp experiment 50 done (51/100 this run)
drift_ramp experiment 51 done (52/100 this run)
drift_ramp experiment 52 done (53/100 this run)
drift_ramp experiment 53 done (54/100 this run)
drift_ramp experiment 54 done (55/100 this run)
drift_ramp experiment 55 done (56/100 this run)
drift_ramp experiment 56 done (57/100 this run)
drift_ramp experiment 57 done (58/100 this run)
drift_ramp experiment 58 done (59/100 this run)
drift_ramp experiment 59 done (60/100 this run)
drift_ramp experiment 61 done (61/100 this run)
drift_ramp experiment 60 done (62/100 this run)
drift_ramp experiment 62 done (63/100 this run)
drift_ramp experiment 63 done (64/100 this run)
drift_ramp experiment 65 done (65/100 this run)
drift_ramp experiment 64 done (66/100 this run)
drift_ramp experiment 67 done (67/100 this run)
drift_ramp experiment 66 done (68/100 this run)
drift_ramp experiment 68 done (69/100 this run)
drift_ramp experiment 69 done (70/100 this run)
drift_ramp experiment 70 done (71/100 this run)
drift_ramp experiment 71 done (72/100 this run)
drift_ramp experiment 72 done (73/100 this run)
drift_ramp experiment 73 done (74/100 this run)
drift_ramp experiment 74 done (75/100 this run)
drift_ramp experiment 75 done (76/100 this run)
drift_ramp experiment 76 done (77/100 this run)
drift_ramp experiment 77 done (78/100 this run)
drift_ramp experiment 78 done (79/100 this run)
drift_ramp experiment 79 done (80/100 this run)
drift_ramp experiment 80 done (81/100 this run)
drift_ramp experiment 81 done (82/100 this run)
drift_ramp experiment 83 done (83/100 this run)
drift_ramp experiment 82 done (84/100 this run)
drift_ramp experiment 84 done (85/100 this run)
drift_ramp experiment 86 done (86/100 this run)
drift_ramp experiment 85 done (87/100 this run)
drift_ramp experiment 87 done (88/100 this run)
drift_ramp experiment 88 done (89/100 this run)
drift_ramp experiment 89 done (90/100 this run)
drift_ramp experiment 90 done (91/100 this run)
drift_ramp experiment 91 done (92/100 this run)
drift_ramp experiment 92 done (93/100 this run)
drift_ramp experiment 93 done (94/100 this run)
drift_ramp experiment 94 done (95/100 this run)
drift_ramp experiment 95 done (96/100 this run)
drift_ramp experiment 96 done (97/100 this run)
drift_ramp experiment 97 done (98/100 this run)
drift_ramp experiment 98 done (99/100 this run)
drift_ramp experiment 99 done (100/100 this run)
battery report: C:\Users\olegr\PycharmProjects\ideg\hardware\ibm_exp1\results\sim_s2\conditions\drift_ramp\battery_report.json
