grid_p2-0.01_ro-0.01: 61 cached, 39 to run
grid_p2-0.01_ro-0.01 experiment 62 done (1/39 this run)
grid_p2-0.01_ro-0.01 experiment 61 done (2/39 this run)
grid_p2-0.01_ro-0.01 experiment 63 done (3/39 this run)
grid_p2-0.01_ro-0.01 experiment 64 done (4/39 this run)
grid_p2-0.01_ro-0.01 experiment 65 done (5/39 this run)
grid_p2-0.01_ro-0.01 experiment 66 done (6/39 this run)
grid_p2-0.01_ro-0.01 experiment 67 done (7/39 this run)
grid_p2-0.01_ro-0.01 experiment 68 done (8/39 this run)
grid_p2-0.01_ro-0.01 experiment 69 done (9/39 this run)
grid_p2-0.01_ro-0.01 experiment 70 done (10/39 this run)
grid_p2-0.01_ro-0.01 experiment 71 done (11/39 this run)
grid_p2-0.01_ro-0.01 experiment 72 done (12/39 this run)
grid_p2-0.01_ro-0.01 experiment 73 done (13/39 this run)
grid_p2-0.01_ro-0.01 experiment 74 done (14/39 this run)
grid_p2-0.01_ro-0.01 experiment 75 done (15/39 this run)
grid_p2-0.01_ro-0.01 experiment 76 done (16/39 this run)
grid_p2-0.01_ro-0.01 experiment 77 done (17/39 this run)
grid_p2-0.01_ro-0.01 experiment 78 done (18/39 this run)
grid_p2-0.01_ro-0.01 experiment 79 done (19/39 this run)
grid_p2-0.01_ro-0.01 experiment 80 done (20/39 this run)
grid_p2-0.01_ro-0.01 experiment 81 done (21/39 this run)
grid_p2-0.01_ro-0.01 experiment 82 done (22/39 this run)
grid_p2-0.01_ro-0.01 experiment 83 done (23/39 this run)
grid_p2-0.01_ro-0.01 experiment 84 done (24/39 this run)
grid_p2-0.01_ro-0.01 experiment 85 done (25/39 this run)
grid_p2-0.01_ro-0.01 experiment 86 done (26/39 this run)
grid_p2-0.01_ro-0.01 experiment 87 done (27/39 this run)
grid_p2-0.01_ro-0.01 experiment 88 done (28/39 this run)
grid_p2-0.01_ro-0.01 experiment 89 done (29/39 this run)
grid_p2-0.01_ro-0.01 experiment 90 done (30/39 this run)
grid_p2-0.01_ro-0.01 experiment 91 done (31/39 this run)
grid_p2-0.01_ro-0.01 experiment 92 done (32/39 this run)
grid_p2-0.01_ro-0.01 experiment 93 done (33/39 this run)
grid_p2-0.01_ro-0.01 experiment 94 done (34/39 this run)
grid_p2-0.01_ro-0.01 experiment 95 done (35/39 this run)
grid_p2-0.01_ro-0.01 experiment 96 done (36/39 this run)
grid_p2-0.01_ro-0.01 experiment 97 done (37/39 this run)
grid_p2-0.01_ro-0.01 experiment 98 done (38/39 this run)
grid_p2-0.01_ro-0.01 experiment 99 done (39/39 this run)
battery report: C:\Users\olegr\PycharmProjects\ideg\hardware\ibm_exp1\results\sim_s2\conditions\grid_p2-0.01_ro-0.01\battery_report.json
